species,speed,irrigation,position x,position y,value
Chlorophytum comosum variegatum,fast,before,c,1,0.041
Chlorophytum comosum variegatum,fast,before,d,1,0.028
Chlorophytum comosum variegatum,fast,before,a,2,0.025
Chlorophytum comosum variegatum,fast,before,b,2,0.044
Chlorophytum comosum variegatum,fast,before,c,2,0.034
Chlorophytum comosum variegatum,fast,before,d,2,0.033
Chlorophytum comosum variegatum,fast,before,a,3,0.027
Chlorophytum comosum variegatum,fast,before,b,3,0.03
Chlorophytum comosum variegatum,fast,before,c,3,0.027
Chlorophytum comosum variegatum,fast,before,d,3,0.03
Chlorophytum comosum variegatum,fast,before,a,4,0.028
Chlorophytum comosum variegatum,fast,before,b,4,0.024
Chlorophytum comosum variegatum,fast,before,c,4,0.022
Chlorophytum comosum variegatum,fast,before,d,4,0.021
Nematanthus wettsteinii,fast,before,a,1,0.03
Nematanthus wettsteinii,fast,before,b,1,0.026
Nematanthus wettsteinii,fast,before,c,1,0.024
Nematanthus wettsteinii,fast,before,d,1,0.022
Nematanthus wettsteinii,fast,before,a,2,0.031
Nematanthus wettsteinii,fast,before,b,2,0.025
Nematanthus wettsteinii,fast,before,c,2,0.022
Nematanthus wettsteinii,fast,before,d,2,0.014
Nematanthus wettsteinii,fast,before,a,3,0.023
Nematanthus wettsteinii,fast,before,b,3,0.027
Nematanthus wettsteinii,fast,before,c,3,0.024
Nematanthus wettsteinii,fast,before,d,3,0.02
Nematanthus wettsteinii,fast,before,a,4,0.02
Nematanthus wettsteinii,fast,before,b,4,0.021
Nematanthus wettsteinii,fast,before,c,4,0.025
Nematanthus wettsteinii,fast,before,d,4,0.019
Nematanthus wettsteinii,fast,before,a,1,0.034
Nematanthus wettsteinii,fast,before,b,1,0.031
Nematanthus wettsteinii,fast,before,c,1,0.028
Nematanthus wettsteinii,fast,before,d,1,0.039
Nematanthus wettsteinii,fast,before,a,2,0.066
Nematanthus wettsteinii,fast,before,b,2,0.048
Nematanthus wettsteinii,fast,before,c,2,0.039
Nematanthus wettsteinii,fast,before,d,2,0.03
Nematanthus wettsteinii,fast,before,a,3,0.089
Nematanthus wettsteinii,fast,before,b,3,0.103
Nematanthus wettsteinii,fast,before,c,3,0.056
Nematanthus wettsteinii,fast,before,d,3,0.058
Nematanthus wettsteinii,fast,before,a,4,0.087
Nematanthus wettsteinii,fast,before,b,4,0.095
Nematanthus wettsteinii,fast,before,c,4,0.098
Nematanthus wettsteinii,fast,before,d,4,0.086
Nematanthus wettsteinii,fast,before,a,1,0.038
Nematanthus wettsteinii,fast,before,b,1,0.03
Nematanthus wettsteinii,fast,before,c,1,0.039
Nematanthus wettsteinii,fast,before,d,1,0.032
Nematanthus wettsteinii,fast,before,a,2,0.044
Nematanthus wettsteinii,fast,before,b,2,0.061
Nematanthus wettsteinii,fast,before,c,2,0.048
Nematanthus wettsteinii,fast,before,d,2,0.042
Nematanthus wettsteinii,fast,before,a,3,0.066
Nematanthus wettsteinii,fast,before,b,3,0.044
Nematanthus wettsteinii,fast,before,c,3,0.07
Nematanthus wettsteinii,fast,before,d,3,0.033
Nematanthus wettsteinii,fast,before,a,4,0.037
Nematanthus wettsteinii,fast,before,b,4,0.052
Nematanthus wettsteinii,fast,before,c,4,0.06
Nematanthus wettsteinii,fast,before,d,4,0.054
Spathiphyllum Chico,fast,before,a,1,0.013
Spathiphyllum Chico,fast,before,b,1,0.034
Spathiphyllum Chico,fast,before,c,1,0.022
Spathiphyllum Chico,fast,before,d,1,0.022
Spathiphyllum Chico,fast,before,a,2,0.019
Spathiphyllum Chico,fast,before,b,2,0.02
Spathiphyllum Chico,fast,before,c,2,0.021
Spathiphyllum Chico,fast,before,d,2,0.019
Spathiphyllum Chico,fast,before,a,3,0.02
Spathiphyllum Chico,fast,before,b,3,0.03
Spathiphyllum Chico,fast,before,c,3,0.019
Spathiphyllum Chico,fast,before,d,3,0.039
Spathiphyllum Chico,fast,before,a,4,0.016
Spathiphyllum Chico,fast,before,b,4,0.019
Spathiphyllum Chico,fast,before,c,4,0.052
Spathiphyllum Chico,fast,before,d,4,0.032
Spathiphyllum Chico,fast,before,a,1,0.026
Spathiphyllum Chico,fast,before,b,1,0.034
Spathiphyllum Chico,fast,before,c,1,0.03
Spathiphyllum Chico,fast,before,d,1,0.036
Spathiphyllum Chico,fast,before,a,2,0.034
Spathiphyllum Chico,fast,before,b,2,0.074
Spathiphyllum Chico,fast,before,c,2,0.051
Spathiphyllum Chico,fast,before,d,2,0.031
Spathiphyllum Chico,fast,before,a,3,0.042
Spathiphyllum Chico,fast,before,b,3,0.046
Spathiphyllum Chico,fast,before,c,3,0.079
Spathiphyllum Chico,fast,before,d,3,0.044
Spathiphyllum Chico,fast,before,a,4,0.05
Spathiphyllum Chico,fast,before,b,4,0.061
Spathiphyllum Chico,fast,before,c,4,0.042
Spathiphyllum Chico,fast,before,d,4,0.033
Spathiphyllum Chico,fast,before,a,1,0.02
Spathiphyllum Chico,fast,before,b,1,0.02
Spathiphyllum Chico,fast,before,c,1,0.021
Spathiphyllum Chico,fast,before,d,1,0.018
Spathiphyllum Chico,fast,before,a,2,0.041
Spathiphyllum Chico,fast,before,b,2,0.034
Spathiphyllum Chico,fast,before,c,2,0.051
Spathiphyllum Chico,fast,before,d,2,0.035
Spathiphyllum Chico,fast,before,a,3,0.037
Spathiphyllum Chico,fast,before,b,3,0.044
Spathiphyllum Chico,fast,before,c,3,0.062
Spathiphyllum Chico,fast,before,d,3,0.049
Spathiphyllum Chico,fast,before,a,4,0.064
Spathiphyllum Chico,fast,before,b,4,0.091
Spathiphyllum Chico,fast,before,c,4,0.088
Spathiphyllum Chico,fast,before,d,4,0.105
Philodendron hederaceum & Philodendron erubescens,fast,before,a,1,0.033
Philodendron hederaceum & Philodendron erubescens,fast,before,b,1,0.036
